db_id,query,question,hardness,lang
number_of_plantations_in_swiss_forest,"WITH MostRecentYear AS (
  SELECT MAX(year) as most_recent_year
  FROM number_of_plantations_in_swiss_forest WHERE type_of_owner = 'Type of owners - total'
)
SELECT
  S.name_de as canton,
  SUM(T.number_of_plantations) as number_of_plantations_in_jura
FROM number_of_plantations_in_swiss_forest as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
JOIN MostRecentYear AS ON T.year = MostRecentYear.most_recent_year
WHERE S.canton = 'TRUE'
  AND T.type_of_owner = 'Type of owners - total'
  AND T.forest_zone = 'Jura'
  AND T.number_of_plantations != 0 AND number_of_plantations IS NOT NULL
GROUP BY S.name_de, MostRecentYear.most_recent_year
ORDER BY number_of_plantations_in_jura DESC;
"," How many plantations in the ""Jura"" forest zone does each canton have by the latest count?
",unknown,en
number_of_plantations_in_swiss_forest,"SELECT S.name_de as canton
FROM number_of_plantations_in_swiss_forest as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.canton = 'TRUE'
  AND T.type_of_owner = 'Private forest'
  AND T.year = 2022
GROUP BY S.name_de
HAVING SUM(T.number_of_plantations) = 0;
"," Which cantons had in 2022 only public forests?
",unknown,en
number_of_plantations_in_swiss_forest,"SELECT T.forest_zone as forest_zone_for_jura, SUM(T.number_of_plantations) AS number_of_plantations_canton_jura
FROM number_of_plantations_in_swiss_forest as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.canton = 'TRUE' AND S.name_de LIKE '%Jura%'
  AND T.type_of_owner = 'Type of owners - total'
  AND T.wood_species = 'Species - total'
  AND T.forest_zone != 'Switzerland'
  AND T.number_of_plantations != 0
GROUP BY T.forest_zone
HAVING SUM(T.number_of_plantations) != 0
ORDER BY number_of_plantations_canton_jura DESC;
"," To which Forestzones belongs the canton Jura and how many plantations of Jura are located in that forest zone?
",unknown,en
number_of_plantations_in_swiss_forest,"WITH PlantationsByYear AS (
  SELECT T.year,
    SUM(T.number_of_plantations) AS number_of_plantations_switzerland
  FROM number_of_plantations_in_swiss_forest AS T
  JOIN spatial_unit AS S ON T.spatialunit_uid = S.spatialunit_uid
  WHERE S.country = 'TRUE'
    AND T.type_of_owner = 'Type of owners - total'
    AND T.wood_species = 'Species - total'
    AND T.forest_zone != 'Switzerland'
    AND T.number_of_plantations != 0
  GROUP BY T.year
)
SELECT
  Curr.year,
  Curr.number_of_plantations_switzerland,
  ROUND(100 * (Curr.number_of_plantations_switzerland - Prev.number_of_plantations_switzerland) / (Prev.number_of_plantations_switzerland), 2) AS change_from_previous_year
FROM PlantationsByYear AS Curr
LEFT JOIN PlantationsByYear AS Prev ON Curr.year = Prev.year + 1
ORDER BY Curr.year DESC;
"," Provide the change over the years of the total number of forests registered in Switzerland. The change should be given in percentage of the number of the previous year.
",unknown,en
tourism_economy_by_canton,"SELECT
    S.name AS canton,
    SUM(CASE WHEN T.year = 2019 THEN T.percent_share_gross_value_added_of_tourism ELSE 0 END) -
    SUM(CASE WHEN T.year = 2016 THEN T.percent_share_gross_value_added_of_tourism ELSE 0 END) AS diff_percentage_gross_value_added_of_tourism_2019_2016
FROM tourism_economy_by_canton as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.canton = 'TRUE'
    AND T.year IN (2016, 2019)
GROUP BY S.name
ORDER BY diff_percentage_gross_value_added_of_tourism_2019_2016 ASC
LIMIT 1;
"," What canton lost the highest share of revenue from tourism between 2016 and 2019, and what percentage did it lose?
",unknown,en
tourism_economy_by_canton,"SELECT T.year, T.percent_share_full_time_employment_of_tourism as percent_share_fte_tourism_canton_zurich
FROM tourism_economy_by_canton as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.canton = 'TRUE'
    AND S.name LIKE '%Zurich%'
    AND T.year >= 2017
    AND T.year <= 2019;
"," What percentage of full time employment was allocated in canton Zurich between 2017 and 2019?
",unknown,en
tourism_economy_by_canton,"SELECT S.name as canton,
T.mio_chf_gross_value_added_of_tourism as mio_chf_gross_value_added_of_tourism_2019
FROM tourism_economy_by_canton as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.canton = 'TRUE'
    AND T.year = 2019
ORDER BY mio_chf_gross_value_added_of_tourism_2019 DESC;
"," How much did each canton earn from tourism in 2019?
",unknown,en
tourism_economy_by_canton,"SELECT S.name as canton, T.percent_share_gross_value_added_of_tourism
FROM tourism_economy_by_canton as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.canton = 'TRUE'
    AND T.year = 2017
    AND (
        S.name LIKE '%Zurich%'
        OR S.name LIKE '%Geneva%'
        OR S.name LIKE '%Bern%'
    );
"," What was the percent of gross value added for tourism in the cantons of Zurich, Bern and Geneva in 2017?
",unknown,en
employees_farmholdings_agricultural_area_livestock_per_canton,"SELECT livestock_beef_cattle_and_cows, livestock_sheep, livestock_goats, livestock_pigs, livestock_poultry, livestock_other_animals
FROM employees_farmholdings_agricultural_area_livestock_per_canton as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.name LIKE '%Bern%'
    AND S.canton = 'TRUE'
    AND T.year = 2020
    AND T.farmholding_system = 'Farmholding system - total';
"," What farm animals were bred in the canton of Bern in 2020?
",hard,en
employees_farmholdings_agricultural_area_livestock_per_canton,"SELECT S.name as canton_name, livestock_pigs as total_pigs
FROM employees_farmholdings_agricultural_area_livestock_per_canton as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.canton = 'TRUE'
    AND year = 2012
    AND T.farmholding_system = 'Farmholding system - total'
ORDER BY livestock_pigs DESC
LIMIT 5;
"," What were the 5 cantons farming the most pigs in 2012?
",unknown,en
employees_farmholdings_agricultural_area_livestock_per_canton,"SELECT year, livestock_beef_cattle_and_cows / farmholdings AS average_cows_per_farmholding_vaud
FROM employees_farmholdings_agricultural_area_livestock_per_canton as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.name = 'Canton Vaud'
    AND S.canton = 'TRUE'
    AND year >= 2017
    AND T.farmholding_system = 'Farmholding system - total';
"," What was the average number of cows per farm in the canton of Vaud since 2017?
",unknown,en
employees_farmholdings_agricultural_area_livestock_per_canton,"SELECT
    year,
    S.name AS canton_name,
    (
        SUM(
            CASE WHEN farmholding_system = 'Organic farming'
            THEN farmholdings
            ELSE 0 END
        ) * 100.0 / SUM(
            CASE WHEN farmholding_system = 'Farmholding system - total'
            THEN farmholdings
            ELSE 0 END
        )
    ) AS percentage_organic_farms
FROM employees_farmholdings_agricultural_area_livestock_per_canton as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE year = (
    SELECT MAX(year)
    FROM employees_farmholdings_agricultural_area_livestock_per_canton
)
GROUP BY year, S.name
ORDER BY percentage_organic_farms DESC
LIMIT 1;
"," What canton has the highest percentage of organic farms most recently?
",unknown,en
employees_farmholdings_agricultural_area_livestock_per_canton,"SELECT farmholding_system, employees_total / farmholdings AS average_employees_per_farm
FROM employees_farmholdings_agricultural_area_livestock_per_canton as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE T.year = 2022
    AND S.name = 'Switzerland'
    AND S.country = 'TRUE'
    AND T.farmholding_system IN ('Organic farming', 'Conventional farming');
"," Does the average organic farm have less employees than the average non-organic farm in 2022?
",unknown,en
employees_farmholdings_agricultural_area_livestock_per_canton,"SELECT
   SUM(CASE WHEN T.year = 2020 AND T.farmholding_system = 'Organic farming'
       THEN T.utilised_agricultural_area_in_hectares ELSE 0 END) -
   SUM(CASE WHEN T.year = 2010 AND T.farmholding_system = 'Organic farming'
       THEN T.utilised_agricultural_area_in_hectares ELSE 0 END) AS increase_organic_farm_area_in_ha,
   SUM(CASE WHEN T.year = 2020 AND T.farmholding_system = 'Organic farming'
       THEN T.farmholdings ELSE 0 END) -
   SUM(CASE WHEN T.year = 2010 AND T.farmholding_system = 'Organic farming'
       THEN T.farmholdings ELSE 0 END) AS increase_number_of_organic_farms,
   SUM(CASE WHEN T.year = 2020 AND T.farmholding_system = 'Conventional farming'
       THEN T.utilised_agricultural_area_in_hectares ELSE 0 END) -
   SUM(CASE WHEN T.year = 2010 AND T.farmholding_system = 'Conventional farming'
       THEN T.utilised_agricultural_area_in_hectares ELSE 0 END) AS increase_conventional_farm_area_in_ha,
   SUM(CASE WHEN T.year = 2020 AND T.farmholding_system = 'Conventional farming'
       THEN T.farmholdings ELSE 0 END) -
   SUM(CASE WHEN T.year = 2010 AND T.farmholding_system = 'Conventional farming'
       THEN T.farmholdings ELSE 0 END) AS increase_number_of_conventional_farms
FROM employees_farmholdings_agricultural_area_livestock_per_canton as T
JOIN spatial_unit AS S ON T.spatialunit_uid = S.spatialunit_uid
WHERE S.canton = 'TRUE'
  AND S.name LIKE '%Uri%'
  AND T.year IN (2010, 2020)
  AND T.farmholding_system IN ('Organic farming', 'Conventional farming');
"," How did organic versus conventional farming develop in Kanton Uri between 2010 and 2020? Consider the farm area and the number of farms and give the differences.
",unknown,en
employees_farmholdings_agricultural_area_livestock_per_canton,"SELECT S.name,
   ROUND(100 * SUM(CASE WHEN T.farmholding_system = 'Organic farming'
       THEN T.utilised_agricultural_area_in_hectares ELSE 0 END) /
   NULLIF(SUM(CASE WHEN T.farmholding_system = 'Farmholding system - total'
       THEN T.utilised_agricultural_area_in_hectares ELSE 0 END), 0), 2) AS percentage_of_organically_used_farmarea
FROM employees_farmholdings_agricultural_area_livestock_per_canton as T
JOIN spatial_unit as S ON T.spatialunit_uid = S.spatialunit_uid
WHERE T.year = 2022
    AND S.canton = 'TRUE'
    AND T.farmholding_system IN ('Organic farming', 'Farmholding system - total')
GROUP BY S.name
ORDER BY percentage_of_organically_used_farmarea DESC LIMIT 5;
"," Which 5 cantons had in 2022 the biggest precentage of their farm area used by organic farming? Order by the percentage of area used for organic farming.
",unknown,en
employees_farmholdings_agricultural_area_livestock_per_canton,"SELECT ROUND(100 * employees_swiss / employees_total, 2) AS percentage_of_swiss_employees,
  ROUND(100 * employees_foreign_nationals / employees_total, 2) AS percentage_foreign_nationals_employees
FROM employees_farmholdings_agricultural_area_livestock_per_canton as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.country = 'TRUE'
    AND year = 2022
    AND T.farmholding_system = 'Farmholding system - total';
","How was the split between Swiss population and foreign nationals on Swiss farms in 2022?
",unknown,en
employees_farmholdings_agricultural_area_livestock_per_canton,"SELECT
   ROUND(100 * SUM(CASE WHEN T.farmholding_system = 'Organic farming'
       THEN T.family_employees ELSE 0 END) /
   SUM(CASE WHEN T.farmholding_system = 'Organic farming'
       THEN T.employees_total ELSE 0 END), 2) AS percentage_family_employees_organic_farming,
   ROUND(100 * SUM(CASE WHEN T.farmholding_system = 'Conventional farming'
       THEN T.family_employees ELSE 0 END) /
   SUM(CASE WHEN T.farmholding_system = 'Conventional farming'
       THEN T.employees_total ELSE 0 END), 2) AS percentage_family_employees_conventional_farming
FROM employees_farmholdings_agricultural_area_livestock_per_canton as T
JOIN spatial_unit as S ON T.spatialunit_uid = S.spatialunit_uid
WHERE T.year = 2022
    AND S.country = 'TRUE'
    AND T.farmholding_system IN ('Organic farming', 'Conventional farming');
"," What was the precentage of family employees in organic and conventional farming in 2022?
",unknown,en
employees_farmholdings_agricultural_area_livestock_per_canton,"SELECT ROUND(100 * full_time_employees_75_percent_or_more / employees_total, 2) AS precentage_75_percent_and_above,
  ROUND(100 * part_time_employees_50_75_percent / employees_total, 2) AS percentage_of_between_50_and_75_percent,
  ROUND(100 * part_time_employees_50_75_percent / employees_total, 2) AS percentage_below_50_precent
FROM employees_farmholdings_agricultural_area_livestock_per_canton as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.country = 'TRUE'
    AND year = 2015
    AND T.farmholding_system = 'Organic farming';
"," What are the percentages of part time work in Organic Farming?
",unknown,en
employees_farmholdings_agricultural_area_livestock_per_canton,"SELECT S.name as canton,
  ROUND(100 * SUM(T.employees_women_manager_label) / SUM(T.employees_women), 2) AS percentage_women_managers
FROM employees_farmholdings_agricultural_area_livestock_per_canton as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.canton = 'TRUE'
    AND year = 2022
    AND T.farmholding_system = 'Farmholding system - total'
GROUP BY S.name
ORDER BY percentage_women_managers DESC
LIMIT 5;
"," Which five cantons had in 2022 the highest percentage of women farmers in mangement position? Also provide the precentage of women who had a manager position.
",unknown,en
demographic_balance_by_canton,"SELECT S.name, population_change
FROM demographic_balance_by_canton as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.canton = 'TRUE'
    AND T.population_change < 0
    AND T.year = 2017
    AND T.citizenship_category = 'Citizenship (category) - total';
"," Which cantons experienced a population decline in 2017, and by how much?
",extra,en
demographic_balance_by_canton,"SELECT S.name, acquisition_of_swiss_citizenship / total_population as relative_acquisition
FROM demographic_balance_by_canton as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.canton = 'TRUE'
    AND T.year = 2017
    AND T.citizenship_category = 'Switzerland'
ORDER BY relative_acquisition DESC
LIMIT 5;
"," Which five cantons had the highest number of Swiss citizenship acquisitions in 2017 relative to their population?
",unknown,en
demographic_balance_by_canton,"SELECT
    S.name, (
        (
            SUM(CASE WHEN T.year = 2022 THEN total_population ELSE 0 END) -
            SUM(CASE WHEN T.year = 2000 THEN total_population ELSE 0 END)
        ) / SUM(CASE WHEN T.year = 2000 THEN total_population ELSE 0 END)
    ) as relative_population_growth
FROM demographic_balance_by_canton as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.canton = 'TRUE'
    AND T.year >= 2000
    AND T.year <= 2022
    AND T.citizenship_category = 'Citizenship (category) - total'
GROUP BY S.name
ORDER BY relative_population_growth DESC
LIMIT 5;
"," Which five cantons experienced the most significant population growth relative to their size between 2000 and 2022?
",unknown,en
demographic_balance_by_canton,"SELECT S.name as canton, total_population as total_population_2019
FROM demographic_balance_by_canton as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.canton = 'TRUE'
    AND T.year = 2019
    AND T.citizenship_category = 'Citizenship (category) - total'
ORDER BY total_population DESC;
"," Give me the total population of each canton in 2019.
",unknown,en
demographic_balance_by_canton,"SELECT year, S.name as most_populout_canton, MAX(births / total_population) as birthrate
FROM demographic_balance_by_canton as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.canton = 'TRUE'
    AND T.year >= 1995
    AND T.year <= 2010
    AND T.citizenship_category = 'Citizenship (category) - total'
GROUP BY T.year, S.name, T.births
ORDER BY year ASC;
"," Show me the cantons with the highest birth rates every year between 1995 and 2010.
",unknown,en
demographic_balance_by_canton,"SELECT T.year, T.births / T.total_population as birthrate
FROM demographic_balance_by_canton as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.country = 'TRUE'
    AND S.name = 'Switzerland'
    AND T.citizenship_category = 'Citizenship (category) - total'
GROUP BY T.year, T.births, T.total_population
ORDER BY birthrate DESC
LIMIT 1;
"," In which year did Switzerland experience its highest birth rate?
",unknown,en
greenhouse_gas_emissions_through_consumption,"WITH EmissionsChange AS (
    SELECT
        T1.year AS current_year,
        T1.emissions_in_million_tons_co2_equivalent AS emissions_current_year,
        (T1.year - 1) AS previous_year,
        T2.emissions_in_million_tons_co2_equivalent AS emissions_previous_year,
        T1.emissions_in_million_tons_co2_equivalent - T2.emissions_in_million_tons_co2_equivalent
          AS decrease_from_previous_year
    FROM greenhouse_gas_emissions_through_consumption AS T1
    JOIN greenhouse_gas_emissions_through_consumption AS T2 ON T1.year = T2.year + 1
    WHERE T1.year > 2000
)
SELECT current_year, decrease_from_previous_year
FROM EmissionsChange WHERE decrease_from_previous_year < 0
ORDER BY decrease_from_previous_year ASC;
"," What years did the greenhouse gas footprint of Switzerland decrease compared to the previous year and by how much? Order by magnitude of decrease
",unknown,en
greenhouse_gas_emissions_through_consumption,"WITH FirstYearEmissions AS (
    SELECT
        year AS first_observation_year,
        emissions_in_million_tons_co2_equivalent AS emissions_first_year
    FROM greenhouse_gas_emissions_through_consumption ORDER BY year ASC
    LIMIT 1
),
LastYearEmissions AS (
    SELECT
        year AS last_observation_year,
        emissions_in_million_tons_co2_equivalent AS emissions_last_year
    FROM greenhouse_gas_emissions_through_consumption ORDER BY year DESC
    LIMIT 1
)
SELECT
    first_observation_year,
    last_observation_year,
    emissions_last_year - emissions_first_year AS emission_change_in_observered_period
FROM FirstYearEmissions AS CROSS JOIN LastYearEmissions;
"," How did the greenhouse gas footprint develop overall? Did it go up or down and by how much? Compare the first and last year in the data and show both years and the change of the footprint.
",unknown,en
greenhouse_gas_emissions_through_consumption,"WITH FirstYearEmissions AS (
    SELECT
        year AS first_observation_year,
        emissions_in_million_tons_co2_equivalent AS emissions_first_year
    FROM greenhouse_gas_emissions_through_consumption ORDER BY year ASC
    LIMIT 1
),
LastYearEmissions AS (
    SELECT
        year AS last_observation_year,
        emissions_in_million_tons_co2_equivalent AS emissions_last_year
    FROM greenhouse_gas_emissions_through_consumption ORDER BY year DESC
    LIMIT 1
)
SELECT
    first_observation_year,
    last_observation_year,
    ((emissions_last_year - emissions_first_year) * 100 / emissions_first_year) AS emission_precentage_change_in_observered_period
FROM FirstYearEmissions AS CROSS JOIN LastYearEmissions;
"," How much was the greenhouse gas footprint reduced as percentage of the total footprint in the observation period?
",unknown,en
stock_vehicles,"SELECT
    sv.vehicle_type AS car_type,
    SUM(sv.amount) AS total_cars
FROM spatial_unit AS su
INNER JOIN stock_vehicles AS sv
ON su.spatialunit_uid = sv.spatialunit_uid
WHERE su.name ILIKE '%zurich%'
    AND su.canton = 'True'
    AND sv.fuel_type = 'total'
    AND sv.year BETWEEN 2013 AND 2018
GROUP BY sv.vehicle_type
ORDER BY total_cars DESC
LIMIT 1;
"," What is the most popular car type in the canton of Zurich?
",unknown,en
stock_vehicles,"SELECT
    sv.year,
    sv.fuel_type,
    SUM(sv.amount) AS total_cars,
    (SUM(sv.amount) * 100.0 / NULLIF(SUM(SUM(sv.amount)) OVER (PARTITION BY sv.year), 0)) AS proportion
FROM stock_vehicles AS sv
WHERE
    sv.year >= 2010 and sv.fuel_type != 'total'
GROUP BY
    sv.year, sv.fuel_type
ORDER BY
    sv.year, sv.fuel_type;
"," How did the proportion of fuel types evolve since 2010?
",unknown,en
stock_vehicles,"SELECT
    MIN(year) AS first_record_year
FROM stock_vehicles WHERE fuel_type ILIKE '%electric%';
"," When was the first record of an electric vehicle?
",unknown,en
stock_vehicles,"SELECT COUNT(DISTINCT spatialunit_uid) AS total_cities
FROM stock_vehicles;
"," In how many cities are vehicles records available?
",unknown,en
stock_vehicles,"SELECT SUM(amount) AS total_electric_cars
FROM stock_vehicles WHERE fuel_type = 'Electric'
    AND year = 2013;
"," How many electric-only cars are registered in 2013?
",unknown,en
stock_vehicles,"SELECT
    vehicle_type,
    SUM(CASE WHEN fuel_type ILIKE '%electric%' THEN amount ELSE 0 END) AS electric_cars,
    SUM(amount) AS total_cars,
    (
        SUM(CASE WHEN fuel_type ILIKE '%electric%' THEN amount ELSE 0 END) * 100.0 / NULLIF(SUM(amount), 0)
    ) AS proportion_electric
FROM stock_vehicles WHERE year = (
    SELECT MAX(year)
    FROM stock_vehicles
    )
GROUP BY vehicle_type
ORDER BY proportion_electric DESC;
"," What is the proportion of electric vehicles of each type in the most recent year, in descending order?
",unknown,en
stock_vehicles,"SELECT su.name AS city
FROM spatial_unit AS su
WHERE NOT EXISTS (
    SELECT 1
    FROM stock_vehicles AS sv
    WHERE su.spatialunit_uid = sv.spatialunit_uid
        AND sv.fuel_type = 'Electric'
);
"," What cities do not have any electric cars registered?
",unknown,en
stock_vehicles,"SELECT
    vehicle_type,
    SUM(amount) AS total_amount
FROM spatial_unit AS su
    INNER JOIN stock_vehicles AS sv ON su.spatialunit_uid = sv.spatialunit_uid
WHERE
    su.canton = 'true'
    AND su.name ILIKE '%basel%'
GROUP BY
    vehicle_type
ORDER BY
    total_amount DESC
LIMIT 1;
"," What type of vehicle is the most frequent in the canton of Basel?
",unknown,en
