db_id,question,query,generated_query,res_gt,res_pred,hard_label,soft_label,partial_label,hardness,lang,process_time
employees_farmholdings_agricultural_area_livestock_per_canton,How many farms were there in all of Switzerland between 2012 and 2018?,"SELECT year, farmholdings
FROM employees_farmholdings_agricultural_area_livestock_per_canton as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.name = 'Switzerland'
    AND S.country = 'TRUE'
    AND year BETWEEN 2012 AND 2018
    AND T.farmholding_system = 'Farmholding system - total';","SELECT SUM(farmholdings) AS total_farms
FROM experiment.employees_farmholdings_agricultural_area_livestock_per_canton
WHERE year BETWEEN 2012 AND 2018;","[(2018, Decimal('50852')), (2017, Decimal('51620')), (2016, Decimal('52263')), (2015, Decimal('53253')), (2014, Decimal('54057')), (2013, Decimal('55207')), (2012, Decimal('56575'))]","[(Decimal('1495308'),)]",False,False,False,extra,en,3.616010684985668
employees_farmholdings_agricultural_area_livestock_per_canton,How was the farmland used in organic farming in 2017? Provide land usage in percentage of the farming area.,"SELECT ROUND(100 * T.arable_land_in_hectares / T.utilised_agricultural_area_in_hectares, 2) AS percentage_arable_land,
  ROUND(100 * T.grassland_in_hectares / T.utilised_agricultural_area_in_hectares, 2) AS percentage_grassland,
  ROUND(100 * T.permanent_crops_in_hectares / T.utilised_agricultural_area_in_hectares, 2) AS percentage_permanent_crops,
  ROUND(100 * T.other_utilised_agricultural_area_in_hectares / T.utilised_agricultural_area_in_hectares, 2) AS precentage_other_usage
FROM employees_farmholdings_agricultural_area_livestock_per_canton as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.country = 'TRUE'
    AND year = 2015
    AND T.farmholding_system = 'Organic farming';","SELECT 
    (SUM(utilised_agricultural_area_in_hectares) / 
    (SELECT SUM(utilised_agricultural_area_in_hectares) 
    FROM experiment.employees_farmholdings_agricultural_area_livestock_per_canton 
    WHERE farmholding_system = 'Organic farming' AND year = 2017)) * 100 
    AS land_usage_percentage
FROM experiment.employees_farmholdings_agricultural_area_livestock_per_canton 
WHERE farmholding_system = 'Organic farming' AND year = 2017","[(Decimal('10.54'), Decimal('86.74'), Decimal('1.11'), Decimal('1.61'))]","[(Decimal('100.00000000000000000000'),)]",False,False,False,unknown,en,9.533633294980971
employees_farmholdings_agricultural_area_livestock_per_canton,How was the split between men and women in farm employment in canton Uri in 2015?,"SELECT ROUND(100 * employees_women / employees_total, 2) AS percentage_of_female_employees,
  ROUND(100 * employees_men / employees_total, 2) AS percentage_of_male_employees
FROM employees_farmholdings_agricultural_area_livestock_per_canton as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.country = 'TRUE'
    AND year = 2015
    AND T.farmholding_system = 'Farmholding system - total';","SELECT employees_men, employees_women
FROM experiment.employees_farmholdings_agricultural_area_livestock_per_canton
WHERE spatialunit_uid = 'UR' AND year = 2015","[(Decimal('36.39'), Decimal('63.61'))]",[],False,False,False,unknown,en,8.853224082151428
employees_farmholdings_agricultural_area_livestock_per_canton,What was the total agricultural surface area in the canton of Geneva in 2000?,"SELECT utilised_agricultural_area_in_hectares as utilised_agricultural_area_in_hectares_canton_geneva
FROM employees_farmholdings_agricultural_area_livestock_per_canton as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.name = 'Canton Geneva'
    AND S.canton = 'TRUE'
    AND year = 2000
    AND T.farmholding_system = 'Farmholding system - total';","SELECT utilised_agricultural_area_in_hectares
FROM experiment.employees_farmholdings_agricultural_area_livestock_per_canton
WHERE spatialunit_uid = 'GE'
AND year = 2000;","[(Decimal('11831.959999999999127'),)]",[],False,False,False,medium,en,3.841752092819661
demographic_balance_by_canton,What was the population change due to natural factors among the residents of Canton Vaud between 2015 and 2020?,"SELECT year, births - deaths
FROM demographic_balance_by_canton as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.canton = 'TRUE'
    AND S.name LIKE '%Vaud%'
    AND T.year >= 2015
    AND T.year >= 2020
    AND T.citizenship_category = 'Citizenship (category) - total';","SELECT population_change
FROM experiment.demographic_balance_by_canton
WHERE spatialunit_uid IN (
    SELECT spatialunit_uid
    FROM experiment.spatial_unit
    WHERE name = 'Vaud'
) AND year BETWEEN 2015 AND 2020","[(2020, Decimal('1755')), (2021, Decimal('3171')), (2022, Decimal('2146'))]",[],False,False,False,hard,en,4.1779764369130135
demographic_balance_by_canton,Which canton has the highest number of residents who have moved from other cantons in 2016?,"SELECT S.name, T.in_migration_from_another_canton
FROM demographic_balance_by_canton as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.canton = 'TRUE'
    AND T.year = 2016
    AND T.citizenship_category = 'Citizenship (category) - total'
ORDER BY T.in_migration_from_another_canton DESC
LIMIT 1;","SELECT spatialunit_uid
FROM experiment.demographic_balance_by_canton
WHERE year = 2016
ORDER BY in_migration_from_another_canton DESC
LIMIT 1;","[('Canton of Zurich', Decimal('24629'))]","[('0_CH',)]",False,False,False,extra,en,6.377913737902418
demographic_balance_by_canton,How many residents were in Switzerland in 2018?,"SELECT total_population as total_population_of_switzerland_in_2018
FROM demographic_balance_by_canton as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.name = 'Switzerland'
    AND S.country = 'TRUE'
    AND T.year = 2018
    AND T.citizenship_category = 'Citizenship (category) - total';","SELECT total_population
FROM experiment.demographic_balance_by_canton
WHERE year = 2018","[(Decimal('8484130'),)]","[(Decimal('8484130'),), (Decimal('6357738'),), (Decimal('2126392'),), (Decimal('1504346'),), (Decimal('1102014'),), (Decimal('402332'),), (Decimal('1031080'),), (Decimal('864300'),), (Decimal('166780'),), (Decimal('406506'),)]",False,False,False,medium,en,2.381311357021332
demographic_balance_by_canton,What was the net migration of Switzerland from 2012 to 2022?,"SELECT year, net_migration as net_migration_of_switzerland
FROM demographic_balance_by_canton as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.name = 'Switzerland'
    AND S.country = 'TRUE'
    AND T.year >= 2012
    AND T.year <= 2022
    AND T.citizenship_category = 'Citizenship (category) - total';","SELECT SUM(net_migration) AS net_migration
FROM experiment.demographic_balance_by_canton
WHERE year >= 2012 AND year <= 2022","[(2012, Decimal('71127')), (2013, Decimal('87106')), (2014, Decimal('76223')), (2015, Decimal('71884')), (2016, Decimal('71030')), (2017, Decimal('45948')), (2018, Decimal('39860')), (2019, Decimal('43352')), (2020, Decimal('53804')), (2021, Decimal('48871'))]","[(Decimal('2754590'),)]",False,False,False,extra,en,2.4180672930087894
greenhouse_gas_emissions_through_consumption,What greenhouse gas footprint had Switzerland in 2000 through consumption?,"SELECT T.emissions_in_million_tons_co2_equivalent
FROM greenhouse_gas_emissions_through_consumption as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.name = 'Switzerland'
  AND S.country = 'TRUE'
  AND T.year = 2000;","SELECT emissions_in_million_tons_co2_equivalent
FROM experiment.greenhouse_gas_emissions_through_consumption
WHERE year = 2000
AND spatialunit_uid = 'CHE';","[(Decimal('117.90056180040800'),)]",[],False,False,False,medium,en,3.5105659421533346
greenhouse_gas_emissions_through_consumption,In which years did the greenhouse footprint increase and by how much? Order by years and start from the present,"WITH EmissionsChange AS (
    SELECT
        T1.year AS current_year,
        T1.emissions_in_million_tons_co2_equivalent AS emissions_current_year,
        (T1.year - 1) AS previous_year,
        T2.emissions_in_million_tons_co2_equivalent AS emissions_previous_year,
        T1.emissions_in_million_tons_co2_equivalent - T2.emissions_in_million_tons_co2_equivalent
          AS increase_from_previous_year
    FROM greenhouse_gas_emissions_through_consumption AS T1
    JOIN greenhouse_gas_emissions_through_consumption AS T2 ON T1.year = T2.year + 1
    WHERE T1.year > 2000
)
SELECT current_year, increase_from_previous_year
FROM EmissionsChange WHERE increase_from_previous_year > 0
ORDER BY current_year DESC;","SELECT year, emissions_in_million_tons_co2_equivalent - LAG(emissions_in_million_tons_co2_equivalent) OVER (ORDER BY year DESC) AS increase
FROM experiment.greenhouse_gas_emissions_through_consumption
ORDER BY year DESC","[(2019, Decimal('0.84871937250901')), (2016, Decimal('3.31000044279900')), (2015, Decimal('0.72715523605801')), (2012, Decimal('1.23833535933301')), (2011, Decimal('5.20356222658100')), (2010, Decimal('6.97420169470800')), (2006, Decimal('2.88092055770599')), (2005, Decimal('6.57339001760900')), (2004, Decimal('0.36959962675900')), (2001, Decimal('7.08801572146100'))]","[(2020, None), (2019, Decimal('11.92197536237100')), (2018, Decimal('-0.84871937250901')), (2017, Decimal('2.00992769322301')), (2016, Decimal('3.53355118254200')), (2015, Decimal('-3.31000044279900')), (2014, Decimal('-0.72715523605801')), (2013, Decimal('5.90360330738901')), (2012, Decimal('1.38928500767901')), (2011, Decimal('-1.23833535933301'))]",False,False,False,unknown,en,4.305524735013023
stock_vehicles,What types of fuel are there?,SELECT DISTINCT fuel_type FROM stock_vehicles;,"SELECT DISTINCT fuel_type
FROM experiment.stock_vehicles","[('Benzine-electric: Plug-in-hybrid',), ('Gas (mono- and bivalent)',), ('Diesel',), ('Diesel-electric: Plug-in-hybrid',), ('Benzine',), ('Electric',), ('Diesel-electric: Normal-hybrid',), ('Hydrogen',), ('other',), ('total',)]","[('Benzine-electric: Plug-in-hybrid',), ('Gas (mono- and bivalent)',), ('Diesel',), ('Diesel-electric: Plug-in-hybrid',), ('Benzine',), ('Electric',), ('Diesel-electric: Normal-hybrid',), ('Hydrogen',), ('other',), ('total',)]",True,True,True,easy,en,1.0867176458705217
stock_vehicles,What was the proportion of electric vehicles in Geneva in 2010?,"SELECT
    SUM(CASE WHEN sv.fuel_type ILIKE '%electric%' THEN sv.amount ELSE 0 END) AS electric_vehicles,
    SUM(sv.amount) AS total_vehicles,
    (
        SUM(CASE WHEN sv.fuel_type ILIKE '%electric%' THEN sv.amount ELSE 0 END) * 100.0 / NULLIF(SUM(sv.amount), 0)
    ) AS proportion_electric_vehicles
FROM spatial_unit AS su
INNER JOIN stock_vehicles AS sv
ON su.spatialunit_uid = sv.spatialunit_uid
WHERE su.name ILIKE '%geneva%'
    AND sv.year = 2010;","SELECT 
    SUM(CASE WHEN fuel_type = 'Electric' THEN amount ELSE 0 END) / SUM(amount) AS proportion
FROM 
    experiment.stock_vehicles sv
JOIN 
    experiment.spatial_unit su ON sv.spatialunit_uid = su.spatialunit_uid
WHERE 
    su.name = 'Geneva' AND sv.year = 2010","[(1425, 591846, Decimal('0.24077209274034123742'))]","[(None,)]",False,False,False,unknown,en,6.231824850896373
stock_vehicles,What was the city with the most cars in 2015?,"SELECT
    su.name AS city,
    SUM(sv.amount) AS total_cars
FROM spatial_unit AS su
INNER JOIN stock_vehicles AS sv
ON su.spatialunit_uid = sv.spatialunit_uid
WHERE sv.year = 2015
    AND su.municipal = 'True'
    AND sv.fuel_type = 'total'
GROUP BY
    su.name
ORDER BY total_cars DESC
LIMIT 1;","SELECT s.spatialunit_uid, s.amount
FROM experiment.stock_vehicles s
JOIN experiment.spatial_unit su ON s.spatialunit_uid = su.spatialunit_uid
WHERE s.year = 2015
ORDER BY s.amount DESC
LIMIT 1;","[('Zürich', 186565)]","[('0_CH', 4458069)]",False,False,False,extra,en,4.546700495062396
stock_vehicles,What are fuel types starting with d?,"SELECT DISTINCT fuel_type
FROM stock_vehicles WHERE fuel_type ILIKE 'd%';","SELECT fuel_type
FROM experiment.stock_vehicles
WHERE fuel_type LIKE 'D%'","[('Diesel',), ('Diesel-electric: Plug-in-hybrid',), ('Diesel-electric: Normal-hybrid',)]","[('Diesel-electric: Plug-in-hybrid',), ('Diesel',), ('Diesel-electric: Normal-hybrid',), ('Diesel',), ('Diesel-electric: Plug-in-hybrid',), ('Diesel',), ('Diesel-electric: Plug-in-hybrid',), ('Diesel-electric: Plug-in-hybrid',), ('Diesel-electric: Normal-hybrid',), ('Diesel-electric: Plug-in-hybrid',)]",False,False,False,medium,en,1.8616648861207068
stock_vehicles,What are the top 10 cities with the highest proportion of diesel cars?,"SELECT
    su.name AS city,
    (SUM(CASE WHEN sv.fuel_type ILIKE '%diesel%' THEN sv.amount ELSE 0 END) * 100.0 / SUM(CASE WHEN sv.fuel_type = 'total' THEN sv.amount ELSE 0 END) ) AS proportion_diesel
FROM spatial_unit AS su
    INNER JOIN stock_vehicles AS sv ON su.spatialunit_uid = sv.spatialunit_uid
WHERE
    su.name IS NOT NULL
GROUP BY
    su.name
ORDER BY
    proportion_diesel DESC
LIMIT 10;","SELECT s.name, COUNT(*) AS diesel_count, COUNT(*)::float / (SELECT COUNT(*) FROM experiment.stock_vehicles WHERE fuel_type = 'Diesel') AS proportion
FROM experiment.stock_vehicles AS v
JOIN experiment.spatial_unit AS s ON v.spatialunit_uid = s.spatialunit_uid
WHERE v.fuel_type = 'Diesel'
GROUP BY s.name
ORDER BY proportion DESC
LIMIT 10;","[('Kammersrohr', Decimal('52.9411764705882353')), ('Bosco/Gurin', Decimal('52.5571273122959739')), ('Samnaun', Decimal('51.8446959241880578')), ('Mont-Tramelan', Decimal('49.1403438624550180')), ('Tschappina', Decimal('49.1346153846153846')), ('Sufers', Decimal('48.9457831325301205')), ('Safiental', Decimal('48.6995065651919378')), ('Oppens', Decimal('48.4344146685472496')), ('Muntogna da Schons', Decimal('47.5857117214144678')), ('Furna', Decimal('47.0049330514446794'))]","[('Aarau', 84, 0.00043047783039173483), ('Aarberg', 84, 0.00043047783039173483), ('Aarburg', 84, 0.00043047783039173483), ('Aarwangen', 84, 0.00043047783039173483), ('Abtwil', 84, 0.00043047783039173483), ('Aclens', 84, 0.00043047783039173483), ('Acquarossa', 84, 0.00043047783039173483), ('Adelboden', 84, 0.00043047783039173483), ('Adligenswil', 84, 0.00043047783039173483), ('Aadorf', 84, 0.00043047783039173483)]",False,False,False,unknown,en,6.768581239972264
stock_vehicles,What year saw the biggest year-on-year increase in electric cars in the city of Basel?,"SELECT
    year,
    year_on_year_increase
FROM (
    SELECT
        sv.year,
        (sv.amount - lag(sv.amount) OVER (ORDER BY sv.year)) AS year_on_year_increase
    FROM spatial_unit AS su
        INNER JOIN stock_vehicles AS sv ON su.spatialunit_uid = sv.spatialunit_uid
    WHERE
        su.name = 'Basel' and su.municipal = 'True'
        AND sv.fuel_type ILIKE '%electric%'
) AS subquery
WHERE
    year_on_year_increase IS NOT NULL
ORDER BY
    year_on_year_increase DESC
LIMIT 1;","SELECT year
FROM experiment.stock_vehicles sv
JOIN experiment.spatial_unit su ON sv.spatialunit_uid = su.spatialunit_uid
WHERE su.name = 'Basel' AND sv.fuel_type = 'Electric'
ORDER BY amount DESC
LIMIT 1","[(2021, 1753)]","[(2021,)]",False,False,True,unknown,en,4.369096823036671
baby_names_favorite_firstname,How many favorite babynames are registered in year 2011?,"SELECT DISTINCT COUNT(bnff.first_name)
FROM baby_names_favorite_firstname as bnff
WHERE bnff.year = 2011;",SELECT COUNT(*) FROM experiment.baby_names_favorite_firstname WHERE year = 2011;,"[(146367,)]","[(146367,)]",True,True,True,easy,en,2.2497377439867705
baby_names_favorite_firstname,Show me all amount of baby names in all municipalities.,"SELECT bnff.first_name, bnff.amount
FROM baby_names_favorite_firstname as bnff
JOIN spatial_unit as su ON bnff.spatialunit_uid = su.spatialunit_uid
WHERE su.municipal = 'TRUE';","SELECT SUM(amount) AS total_amount
FROM experiment.baby_names_favorite_firstname",[],"[(Decimal('3132576'),)]",False,False,False,medium,en,1.7292099711485207
baby_names_favorite_firstname,Which canton has the most borned boys called 'Oscar' in 2016?,"SELECT su.name, bnff.amount
FROM baby_names_favorite_firstname as bnff
JOIN spatial_unit as su ON bnff.spatialunit_uid = su.spatialunit_uid
WHERE year = 2016 AND gender = 'boy' AND bnff.first_name = 'Oscar' AND su.canton = 'TRUE'
ORDER BY bnff.amount DESC LIMIT 1;","SELECT spatialunit_uid
FROM experiment.baby_names_favorite_firstname
WHERE gender = 'boy' AND first_name = 'Oscar' AND year = 2016
GROUP BY spatialunit_uid
ORDER BY COUNT(*) DESC
LIMIT 1;","[('Canton Vaud', Decimal('16'))]","[('0_CH',)]",False,False,False,extra,en,6.988004295155406
