db_id,question,query,generated_query,hardness,lang,process_time,Max_Score,Avg_Score
employees_farmholdings_agricultural_area_livestock_per_canton,How many farms were there in all of Switzerland between 2012 and 2018?,"SELECT year, farmholdings
FROM employees_farmholdings_agricultural_area_livestock_per_canton as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.name = 'Switzerland'
    AND S.country = 'TRUE'
    AND year BETWEEN 2012 AND 2018
    AND T.farmholding_system = 'Farmholding system - total';","SELECT SUM(farmholdings) AS total_farms
FROM experiment.employees_farmholdings_agricultural_area_livestock_per_canton
WHERE year BETWEEN 2012 AND 2018",extra,en,4.405162462964654,0,0
employees_farmholdings_agricultural_area_livestock_per_canton,How was the farmland used in organic farming in 2017? Provide land usage in percentage of the farming area.,"SELECT ROUND(100 * T.arable_land_in_hectares / T.utilised_agricultural_area_in_hectares, 2) AS percentage_arable_land,
  ROUND(100 * T.grassland_in_hectares / T.utilised_agricultural_area_in_hectares, 2) AS percentage_grassland,
  ROUND(100 * T.permanent_crops_in_hectares / T.utilised_agricultural_area_in_hectares, 2) AS percentage_permanent_crops,
  ROUND(100 * T.other_utilised_agricultural_area_in_hectares / T.utilised_agricultural_area_in_hectares, 2) AS precentage_other_usage
FROM employees_farmholdings_agricultural_area_livestock_per_canton as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.country = 'TRUE'
    AND year = 2015
    AND T.farmholding_system = 'Organic farming';","SELECT 
    (SUM(utilised_agricultural_area_in_hectares) / 
    (SELECT SUM(utilised_agricultural_area_in_hectares) 
    FROM experiment.employees_farmholdings_agricultural_area_livestock_per_canton 
    WHERE farmholding_system = 'Organic farming' AND year = 2017)) * 100 
    AS land_usage_percentage
FROM experiment.employees_farmholdings_agricultural_area_livestock_per_canton 
WHERE farmholding_system = 'Organic farming' AND year = 2017",unknown,en,13.436346529982984,0,0
employees_farmholdings_agricultural_area_livestock_per_canton,How was the split between men and women in farm employment in canton Uri in 2015?,"SELECT ROUND(100 * employees_women / employees_total, 2) AS percentage_of_female_employees,
  ROUND(100 * employees_men / employees_total, 2) AS percentage_of_male_employees
FROM employees_farmholdings_agricultural_area_livestock_per_canton as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.country = 'TRUE'
    AND year = 2015
    AND T.farmholding_system = 'Farmholding system - total';","SELECT employees_men, employees_women
FROM experiment.employees_farmholdings_agricultural_area_livestock_per_canton
WHERE spatialunit_uid = 'URI' AND year = 2015;",unknown,en,6.17278620088473,0,0
employees_farmholdings_agricultural_area_livestock_per_canton,What was the total agricultural surface area in the canton of Geneva in 2000?,"SELECT utilised_agricultural_area_in_hectares as utilised_agricultural_area_in_hectares_canton_geneva
FROM employees_farmholdings_agricultural_area_livestock_per_canton as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.name = 'Canton Geneva'
    AND S.canton = 'TRUE'
    AND year = 2000
    AND T.farmholding_system = 'Farmholding system - total';","SELECT utilised_agricultural_area_in_hectares
FROM experiment.employees_farmholdings_agricultural_area_livestock_per_canton
WHERE spatialunit_uid = 'geneva' AND year = 2000;",unknown,en,4.801340277772397,0,0
demographic_balance_by_canton,What was the population change due to natural factors among the residents of Canton Vaud between 2015 and 2020?,"SELECT year, births - deaths
FROM demographic_balance_by_canton as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.canton = 'TRUE'
    AND S.name LIKE '%Vaud%'
    AND T.year >= 2015
    AND T.year >= 2020
    AND T.citizenship_category = 'Citizenship (category) - total';","SELECT population_change
FROM experiment.demographic_balance_by_canton
WHERE spatialunit_uid IN (
    SELECT spatialunit_uid
    FROM experiment.spatial_unit
    WHERE name = 'Vaud'
) AND year >= 2015 AND year <= 2020",hard,en,6.592777420766652,0,0
demographic_balance_by_canton,Which canton has the highest number of residents who have moved from other cantons in 2016?,"SELECT S.name, T.in_migration_from_another_canton
FROM demographic_balance_by_canton as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.canton = 'TRUE'
    AND T.year = 2016
    AND T.citizenship_category = 'Citizenship (category) - total'
ORDER BY T.in_migration_from_another_canton DESC
LIMIT 1;","SELECT spatialunit_uid
FROM experiment.demographic_balance_by_canton
WHERE year = 2016
ORDER BY in_migration_from_another_canton DESC
LIMIT 1;",extra,en,4.704878193791956,0,0
demographic_balance_by_canton,How many residents were in Switzerland in 2018?,"SELECT total_population as total_population_of_switzerland_in_2018
FROM demographic_balance_by_canton as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.name = 'Switzerland'
    AND S.country = 'TRUE'
    AND T.year = 2018
    AND T.citizenship_category = 'Citizenship (category) - total';","SELECT total_population
FROM experiment.demographic_balance_by_canton
WHERE year = 2018;",unknown,en,4.918022475671023,0,0
demographic_balance_by_canton,What was the net migration of Switzerland from 2012 to 2022?,"SELECT year, net_migration as net_migration_of_switzerland
FROM demographic_balance_by_canton as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.name = 'Switzerland'
    AND S.country = 'TRUE'
    AND T.year >= 2012
    AND T.year <= 2022
    AND T.citizenship_category = 'Citizenship (category) - total';","SELECT SUM(net_migration) AS net_migration
FROM experiment.demographic_balance_by_canton
WHERE year >= 2012 AND year <= 2022",unknown,en,3.2038424611091614,0,0
greenhouse_gas_emissions_through_consumption,What greenhouse gas footprint had Switzerland in 2000 through consumption?,"SELECT T.emissions_in_million_tons_co2_equivalent
FROM greenhouse_gas_emissions_through_consumption as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.name = 'Switzerland'
  AND S.country = 'TRUE'
  AND T.year = 2000;","SELECT emissions_in_million_tons_co2_equivalent
FROM experiment.greenhouse_gas_emissions_through_consumption
WHERE year = 2000
AND spatialunit_uid = 'CHE';",medium,en,3.8149367119185627,0,0
greenhouse_gas_emissions_through_consumption,In which years did the greenhouse footprint increase and by how much? Order by years and start from the present,"WITH EmissionsChange AS (
    SELECT
        T1.year AS current_year,
        T1.emissions_in_million_tons_co2_equivalent AS emissions_current_year,
        (T1.year - 1) AS previous_year,
        T2.emissions_in_million_tons_co2_equivalent AS emissions_previous_year,
        T1.emissions_in_million_tons_co2_equivalent - T2.emissions_in_million_tons_co2_equivalent
          AS increase_from_previous_year
    FROM greenhouse_gas_emissions_through_consumption AS T1
    JOIN greenhouse_gas_emissions_through_consumption AS T2 ON T1.year = T2.year + 1
    WHERE T1.year > 2000
)
SELECT current_year, increase_from_previous_year
FROM EmissionsChange WHERE increase_from_previous_year > 0
ORDER BY current_year DESC;","SELECT year, emissions_in_million_tons_co2_equivalent - LAG(emissions_in_million_tons_co2_equivalent) OVER (ORDER BY year DESC) AS increase
FROM experiment.greenhouse_gas_emissions_through_consumption
ORDER BY year DESC",unknown,en,6.972650784999132,0,0
stock_vehicles,What types of fuel are there?,SELECT DISTINCT fuel_type FROM stock_vehicles;,"SELECT DISTINCT fuel_type
FROM experiment.stock_vehicles",easy,en,2.184137621894479,0,0
stock_vehicles,What was the proportion of electric vehicles in Geneva in 2010?,"SELECT
    SUM(CASE WHEN sv.fuel_type ILIKE '%electric%' THEN sv.amount ELSE 0 END) AS electric_vehicles,
    SUM(sv.amount) AS total_vehicles,
    (
        SUM(CASE WHEN sv.fuel_type ILIKE '%electric%' THEN sv.amount ELSE 0 END) * 100.0 / NULLIF(SUM(sv.amount), 0)
    ) AS proportion_electric_vehicles
FROM spatial_unit AS su
INNER JOIN stock_vehicles AS sv
ON su.spatialunit_uid = sv.spatialunit_uid
WHERE su.name ILIKE '%geneva%'
    AND sv.year = 2010;","SELECT 
    SUM(amount) AS total_amount,
    SUM(CASE WHEN fuel_type = 'Electric' THEN amount ELSE 0 END) AS electric_amount,
    (SUM(CASE WHEN fuel_type = 'Electric' THEN amount ELSE 0 END) / SUM(amount)) * 100 AS proportion_electric
FROM 
    experiment.stock_vehicles sv
JOIN 
    experiment.spatial_unit su ON sv.spatialunit_uid = su.spatialunit_uid
WHERE 
    su.name = 'Geneva' AND sv.year = 2010",unknown,en,11.846195905003697,0,0
stock_vehicles,What was the city with the most cars in 2015?,"SELECT
    su.name AS city,
    SUM(sv.amount) AS total_cars
FROM spatial_unit AS su
INNER JOIN stock_vehicles AS sv
ON su.spatialunit_uid = sv.spatialunit_uid
WHERE sv.year = 2015
    AND su.municipal = 'True'
    AND sv.fuel_type = 'total'
GROUP BY
    su.name
ORDER BY total_cars DESC
LIMIT 1;","SELECT s.name
FROM experiment.spatial_unit s
JOIN experiment.stock_vehicles v ON s.spatialunit_uid = v.spatialunit_uid
WHERE v.year = 2015
GROUP BY s.name
ORDER BY SUM(v.amount) DESC
LIMIT 1;",unknown,en,4.987948658876121,0,0
stock_vehicles,What are fuel types starting with d?,"SELECT DISTINCT fuel_type
FROM stock_vehicles WHERE fuel_type ILIKE 'd%';","SELECT fuel_type
FROM experiment.stock_vehicles
WHERE fuel_type LIKE 'D%'",unknown,en,3.415513197891414,0,0
stock_vehicles,What are the top 10 cities with the highest proportion of diesel cars?,"SELECT
    su.name AS city,
    (SUM(CASE WHEN sv.fuel_type ILIKE '%diesel%' THEN sv.amount ELSE 0 END) * 100.0 / SUM(CASE WHEN sv.fuel_type = 'total' THEN sv.amount ELSE 0 END) ) AS proportion_diesel
FROM spatial_unit AS su
    INNER JOIN stock_vehicles AS sv ON su.spatialunit_uid = sv.spatialunit_uid
WHERE
    su.name IS NOT NULL
GROUP BY
    su.name
ORDER BY
    proportion_diesel DESC
LIMIT 10;","SELECT s.name, COUNT(*) AS diesel_count, COUNT(*)::float / (SELECT COUNT(*) FROM experiment.stock_vehicles WHERE fuel_type <> 'total') AS proportion
FROM experiment.stock_vehicles sv
JOIN experiment.spatial_unit s ON sv.spatialunit_uid = s.spatialunit_uid
WHERE sv.fuel_type = 'Diesel'
GROUP BY s.name
ORDER BY proportion DESC
LIMIT 10;",unknown,en,9.588754237629473,0,0
stock_vehicles,What year saw the biggest year-on-year increase in electric cars in the city of Basel?,"SELECT
    year,
    year_on_year_increase
FROM (
    SELECT
        sv.year,
        (sv.amount - lag(sv.amount) OVER (ORDER BY sv.year)) AS year_on_year_increase
    FROM spatial_unit AS su
        INNER JOIN stock_vehicles AS sv ON su.spatialunit_uid = sv.spatialunit_uid
    WHERE
        su.name = 'Basel' and su.municipal = 'True'
        AND sv.fuel_type ILIKE '%electric%'
) AS subquery
WHERE
    year_on_year_increase IS NOT NULL
ORDER BY
    year_on_year_increase DESC
LIMIT 1;","SELECT year
FROM experiment.stock_vehicles sv
JOIN experiment.spatial_unit su ON sv.spatialunit_uid = su.spatialunit_uid
WHERE su.name = 'Basel' AND sv.fuel_type = 'Electric'
ORDER BY amount - LAG(amount) OVER (PARTITION BY sv.spatialunit_uid ORDER BY year) DESC
LIMIT 1;",unknown,en,9.285199526697397,0,0
baby_names_favorite_firstname,How many favorite babynames are registered in year 2011?,"SELECT DISTINCT COUNT(bnff.first_name)
FROM baby_names_favorite_firstname as bnff
WHERE bnff.year = 2011;",SELECT COUNT(*) FROM experiment.baby_names_favorite_firstname WHERE year = 2011;,easy,en,4.144328617956489,0,0
baby_names_favorite_firstname,Show me all amount of baby names in all municipalities.,"SELECT bnff.first_name, bnff.amount
FROM baby_names_favorite_firstname as bnff
JOIN spatial_unit as su ON bnff.spatialunit_uid = su.spatialunit_uid
WHERE su.municipal = 'TRUE';","SELECT SUM(amount) AS total_amount
FROM experiment.baby_names_favorite_firstname
JOIN experiment.spatial_unit ON baby_names_favorite_firstname.spatialunit_uid = spatial_unit.spatialunit_uid
WHERE spatial_unit.municipal = true",medium,en,5.086888705845922,0,0
baby_names_favorite_firstname,Which canton has the most borned boys called 'Oscar' in 2016?,"SELECT su.name, bnff.amount
FROM baby_names_favorite_firstname as bnff
JOIN spatial_unit as su ON bnff.spatialunit_uid = su.spatialunit_uid
WHERE year = 2016 AND gender = 'boy' AND bnff.first_name = 'Oscar' AND su.canton = 'TRUE'
ORDER BY bnff.amount DESC LIMIT 1;","SELECT spatialunit_uid
FROM experiment.baby_names_favorite_firstname
WHERE gender = 'boy' AND first_name = 'Oscar' AND year = 2016
GROUP BY spatialunit_uid
ORDER BY COUNT(*) DESC
LIMIT 1;",extra,en,6.024642201140523,0,0
baby_names_favorite_firstname,Show me all top-1 ranked girl names for in each canton in year 2016. Return me the amount and year as well.,"SELECT bnff.first_name, su.name, bnff.amount, bnff.year
FROM baby_names_favorite_firstname as bnff
JOIN spatial_unit as su ON bnff.spatialunit_uid = su.spatialunit_uid
WHERE su.canton = 'TRUE' and bnff.gender = 'girl' and bnff.year = 2016 and bnff.rank = 1;","SELECT b.amount, b.year, b.first_name
FROM experiment.baby_names_favorite_firstname b
JOIN experiment.spatial_unit s ON b.spatialunit_uid = s.spatialunit_uid
WHERE b.gender = 'girl' AND b.rank = 1 AND b.year = 2016
AND s.canton = true",extra,en,8.128445977345109,0,0
baby_names_favorite_firstname,How many girls new borned with name initial L from canton Zurich in 2016?,"SELECT sum(amount)
FROM baby_names_favorite_firstname as bnff
JOIN spatial_unit as su ON bnff.spatialunit_uid = su.spatialunit_uid
WHERE year = 2016 AND gender = 'girl' AND su.canton = ''True''
AND su.name ilike '%zurich%' AND bnff.first_name ilike 'l%';","SELECT COUNT(*) 
FROM experiment.baby_names_favorite_firstname AS b
JOIN experiment.spatial_unit AS s ON b.spatialunit_uid = s.spatialunit_uid
WHERE b.gender = 'girl' 
AND b.first_name LIKE 'L%' 
AND s.name = 'Zurich' 
AND b.year = 2016",unknown,en,8.059615690261126,0,0
baby_names_favorite_firstname,Show me the top one ranking girl names from year 2010 in Switzerland.,"SELECT bnff.first_name, bnff.year
FROM baby_names_favorite_firstname as bnff
JOIN spatial_unit as su ON bnff.spatialunit_uid = su.spatialunit_uid
WHERE su.country = 'TRUE' and su.name ilike '%Switzerland%' and bnff.gender = 'girl'
and bnff.year >= 2010 and bnff.rank = 1
ORDER BY bnff.year;","SELECT first_name
FROM experiment.baby_names_favorite_firstname
WHERE gender = 'girl' AND year = 2010
ORDER BY rank
LIMIT 1;",unknown,en,3.8988801389932632,0,0
divorces_duration_of_marriage_age_classes,How many divorces were there in canton zurich in 2020?,"SELECT S.name, T.year, sum(T.amount) as total_divorces
FROM divorces_duration_of_marriage_age_classes as T
JOIN spatial_unit AS S ON T.spatialunit_uid = S.spatialunit_uid
WHERE S.name ilike '%Zurich%'
AND T.year = 2020
AND S.canton = 'True'
AND T.duration_of_marriage = 'Duration of marriage - total'
AND T.age_class_husband = 'Age class of husband - total'
AND T.age_class_wife = 'Age class of wife - total'
GROUP BY S.name, T.year;","SELECT SUM(amount) AS total_divorces
FROM experiment.divorces_duration_of_marriage_age_classes d
JOIN experiment.spatial_unit s ON d.spatialunit_uid = s.spatialunit_uid
WHERE s.name = 'Zurich' AND d.year = 2020;",unknown,en,7.145902765914798,0,0
divorces_duration_of_marriage_age_classes,Did any people divorce at an age of 70 or above in Switzerland in 2000?,"SELECT S.name, T.age_class_husband, SUM(T.amount) AS total_divorces
FROM spatial_unit AS S
INNER JOIN divorces_duration_of_marriage_age_classes AS T
ON S.spatialunit_uid = T.spatialunit_uid
WHERE T.year = 2000
AND T.duration_of_marriage = 'Duration of marriage - total'
AND (T.age_class_husband = '90 years or older' OR T.age_class_husband = '70-79 years')
AND T.age_class_wife = 'Age class of wife - total'
AND S.country
GROUP BY S.name, T.age_class_husband;","SELECT COUNT(*) FROM experiment.divorces_duration_of_marriage_age_classes
WHERE age_class_husband = '70 years or more' OR age_class_wife = '70 years or more'
AND spatialunit_uid LIKE '%_A.ADM1'
AND year = 2000;",unknown,en,5.964227554388344,0,0
divorces_duration_of_marriage_age_classes,Which year between 1990 and 2000 had the least divorces in Stadt Basel?,"SELECT S.name, T.year, SUM(T.amount) AS total_divorces
FROM spatial_unit AS S
INNER JOIN divorces_duration_of_marriage_age_classes AS T
ON S.spatialunit_uid = T.spatialunit_uid
WHERE T.year >= 1990
AND T.duration_of_marriage = 'Duration of marriage - total'
AND T.age_class_husband = 'Age class of husband - total'
AND T.age_class_wife = 'Age class of wife - total'
AND S.country
GROUP BY S.name, T.year
ORDER BY T.year;","SELECT year, MIN(amount) AS least_divorces
FROM experiment.divorces_duration_of_marriage_age_classes
WHERE spatialunit_uid = '8_A.ADM1' AND year BETWEEN 1990 AND 2000
GROUP BY year
ORDER BY least_divorces
LIMIT 1;",unknown,en,5.779370924923569,0,0
divorces_duration_of_marriage_age_classes,How many men divorced at an age between 60 and 69 in canton zurich in 2020?,"SELECT S.name, T.year, T.age_class_husband, sum(T.amount) AS total_divorces
FROM divorces_duration_of_marriage_age_classes as T
JOIN spatial_unit AS S ON T.spatialunit_uid = S.spatialunit_uid
WHERE S.name ilike '%Zurich%'
AND T.year = 2020
AND S.canton = 'True'
AND T.duration_of_marriage = 'Duration of marriage - total'
AND T.age_class_husband = '60-69 years'
AND T.age_class_wife = 'Age class of wife - total'
GROUP BY S.name, T.year, T.age_class_husband;","SELECT COUNT(*) 
FROM experiment.divorces_duration_of_marriage_age_classes AS d
JOIN experiment.spatial_unit AS s ON d.spatialunit_uid = s.spatialunit_uid
WHERE d.age_class_husband = '60-69 years' 
AND s.name = 'Zurich' 
AND d.year = 2020;",unknown,en,7.45471865311265,0,0
divorces_duration_of_marriage_age_classes,From 2000 to 2022 which year saw the most divorces in Switzerland?,"SELECT T.year, SUM(T.amount) AS total_divorces
FROM spatial_unit AS S
INNER JOIN divorces_duration_of_marriage_age_classes AS T
ON S.spatialunit_uid = T.spatialunit_uid
WHERE T.year >= 2000
AND T.year <= 2022
AND T.duration_of_marriage = 'Duration of marriage - total'
AND T.age_class_wife = 'Age class of wife - total'
AND T.age_class_husband = 'Age class of husband - total'
AND S.country
GROUP BY T.year
ORDER BY total_divorces DESC
LIMIT 1;","SELECT year, SUM(amount) AS total_divorces
FROM experiment.divorces_duration_of_marriage_age_classes
WHERE year BETWEEN 2000 AND 2022
GROUP BY year
ORDER BY total_divorces DESC
LIMIT 1;",unknown,en,6.822619567159563,0,0
divorces_duration_of_marriage_age_classes,How many marriages in Switzerland got divorced after less then 5 years in 2000?,"SELECT sum(amount) AS total_divorces
FROM divorces_duration_of_marriage_age_classes as T
JOIN spatial_unit AS S ON T.spatialunit_uid = s.spatialunit_uid
WHERE S.country
AND T.year = '2000'
AND T.duration_of_marriage = '0-4 years'
AND T.age_class_husband = 'Age class of husband - total'
AND T.age_class_wife = 'Age class of wife - total';","SELECT COUNT(*) 
FROM experiment.divorces_duration_of_marriage_age_classes 
WHERE duration_of_marriage = 'Less than 5 years' 
AND year = 2000 
AND spatialunit_uid LIKE '%_A.ADM1'",unknown,en,4.43752122297883,0,0
divorces_duration_of_marriage_citizenship_categories,What is the total number of divorces for Swiss couples where the duration of the marriage was 20 years or more in 1994?,"SELECT SUM(amount)
FROM divorces_duration_of_marriage_citizenship_categories WHERE year = 1994
  AND duration_of_marriage = '20 years or more'
  AND citizenship_category_husband = 'Switzerland'
  AND citizenship_category_wife = 'Switzerland';","SELECT SUM(amount) AS total_divorces
FROM experiment.divorces_duration_of_marriage_citizenship_categories
WHERE citizenship_category_husband = 'Switzerland'
AND citizenship_category_wife = 'Switzerland'
AND duration_of_marriage = '20 years or more'
AND year = 1994;",medium,en,7.196472141426057,0,0
